id,class,bbox,state,last_seen
1,7,"[275, 415, 757, 678]",PARKED,1763998076.367225
2,7,"[0, 549, 455, 954]",PARKED,1763998076.367225
3,7,"[561, 300, 978, 474]",PARKED,1763998076.367225
4,2,"[16, 437, 119, 490]",PARKED,1763998076.367225
5,2,"[149, 396, 239, 441]",PARKED,1763998076.367225
6,7,"[872, 190, 1156, 322]",PARKED,1763998076.367225
8,,[],PARKED,
9,7,"[535, 189, 717, 303]",PARKED,1763998076.367225
10,,[],PARKED,
11,,[],PARKED,
13,7,"[1001, 122, 1241, 202]",PARKED,1763998076.367225
14,7,"[652, 251, 872, 306]",PARKED,1763998076.367225
21,2,"[1763, 0, 1784, 19]",PARKED,1763998075.7888262
43,2,"[1674, 23, 1707, 50]",PARKED,1763998076.367225
101,2,"[1768, 58, 1803, 83]",PARKED,1763998076.367225
